p1,p2,dealer,category,avg_think_claude-sonnet-4-20250514-thinking,avg_think_gemini-2-5-flash-thinking,avg_think_gpt-5-med-thinking,avg_think_gpt-5-nano-med-thinking,n_claude-sonnet-4-20250514-thinking,n_gemini-2-5-flash-thinking,n_gpt-5-med-thinking,n_gpt-5-nano-med-thinking
4,8,9,hard 12,975.8,1184.4,242.8,511.2,5,5,5,5
5,7,9,hard 12,928.6,1184.0,90.4,810.6,5,5,5,5
2,10,A,hard 12,971.0,1004.2,447.8,1288.2,4,4,4,4
3,9,A,hard 12,866.0,1111.0,446.0,1140.5,2,2,2,2
4,8,A,hard 12,1101.0,1321.0,0.0,2214.0,1,1,1,1
5,7,A,hard 12,850.0,1050.0,429.2,1142.5,4,4,4,4
3,10,10,hard 13,963.0,1107.0,186.6,1237.4,5,5,5,5
4,9,10,hard 13,852.8,1062.2,425.0,697.2,5,5,5,5
5,8,10,hard 13,687.0,1087.2,652.5,1519.8,4,4,4,4
6,7,10,hard 13,1155.5,1111.8,212.8,1478.2,4,4,4,4
3,10,2,hard 13,713.2,1025.0,844.8,1342.2,5,5,5,5
4,9,2,hard 13,606.4,1387.4,403.4,2123.2,5,5,5,5
5,8,2,hard 13,760.8,981.2,743.8,1886.6,5,5,5,5
6,7,2,hard 13,1001.0,1415.8,369.0,1548.2,5,5,5,5
3,10,3,hard 13,1001.4,1279.0,279.8,2169.0,5,5,5,5
4,9,3,hard 13,749.0,1042.0,714.2,1988.6,5,5,5,5
5,8,3,hard 13,805.0,934.4,986.6,2000.6,5,5,5,5
6,7,3,hard 13,773.8,1056.8,78.2,2057.4,5,5,5,5
3,10,4,hard 13,787.6,1160.8,635.4,1408.0,5,5,5,5
4,9,4,hard 13,647.6,977.0,436.0,1642.6,5,5,5,5
5,8,4,hard 13,884.2,1053.2,707.0,1849.6,5,5,5,5
6,7,4,hard 13,794.6,1012.4,431.4,1644.0,5,5,5,5
3,10,5,hard 13,770.6,1074.6,1073.8,1446.6,5,5,5,5
4,9,5,hard 13,771.6,1270.0,576.4,1593.2,5,5,5,5
5,8,5,hard 13,702.2,1171.4,415.8,1984.0,5,5,5,5
6,7,5,hard 13,689.6,974.4,603.6,1740.4,5,5,5,5
3,10,6,hard 13,698.0,814.2,834.8,1422.0,5,5,5,5
4,9,6,hard 13,743.4,1010.8,678.2,1697.4,5,5,5,5
5,8,6,hard 13,796.4,917.6,180.8,1844.6,5,5,5,5
6,7,6,hard 13,748.8,1035.2,519.4,1687.0,5,5,5,5
3,10,7,hard 13,731.4,1319.8,502.8,1171.6,5,5,5,5
4,9,7,hard 13,746.6,1006.4,333.6,1538.8,5,5,5,5
5,8,7,hard 13,983.8,979.0,86.8,1350.0,5,5,5,5
6,7,7,hard 13,1009.8,1643.8,89.8,1422.6,5,5,5,5
3,10,8,hard 13,1024.0,1117.8,242.2,810.6,5,5,5,5
4,9,8,hard 13,967.0,1200.8,257.2,1608.2,5,5,5,5
5,8,8,hard 13,744.2,1012.2,264.4,1214.2,5,5,5,5
6,7,8,hard 13,688.2,1216.0,352.0,346.2,5,5,5,5
3,10,9,hard 13,843.2,1084.8,77.4,1391.8,5,5,5,5
4,9,9,hard 13,695.2,981.2,327.4,1159.4,5,5,5,5
5,8,9,hard 13,812.4,887.0,185.4,1471.4,5,5,5,5
6,7,9,hard 13,646.2,955.6,172.6,1243.2,5,5,5,5
3,10,A,hard 13,930.5,917.5,638.5,671.5,4,4,4,4
4,9,A,hard 13,954.5,1530.0,475.0,702.5,2,2,2,2
5,8,A,hard 13,848.8,1074.8,99.8,603.2,4,4,4,4
6,7,A,hard 13,866.5,1289.0,439.8,1674.5,4,4,4,4
4,10,10,hard 14,743.0,980.8,484.2,1166.0,5,5,5,5
5,9,10,hard 14,845.8,1068.0,335.8,1202.4,5,5,5,5
6,8,10,hard 14,757.0,1156.2,328.5,835.0,4,4,4,4
4,10,2,hard 14,710.6,1071.6,1159.2,2568.6,5,5,5,5
5,9,2,hard 14,812.6,1147.6,179.0,1987.0,5,5,5,5
6,8,2,hard 14,839.0,1253.6,1064.4,1931.4,5,5,5,5
4,10,3,hard 14,647.0,1038.2,883.2,2062.6,5,5,5,5
5,9,3,hard 14,831.8,1209.2,344.6,1743.4,5,5,5,5
6,8,3,hard 14,839.8,1230.0,737.4,2144.2,5,5,5,5
4,10,4,hard 14,692.4,1366.0,604.8,2080.4,5,5,5,5
5,9,4,hard 14,696.0,1082.4,786.0,1458.8,5,5,5,5
6,8,4,hard 14,671.6,1176.8,720.6,1954.2,5,5,5,5
4,10,5,hard 14,726.8,857.0,1074.0,2035.4,5,5,5,5
5,9,5,hard 14,781.6,966.8,457.4,2309.6,5,5,5,5
6,8,5,hard 14,720.8,1467.6,508.6,2655.0,5,5,5,5
4,10,6,hard 14,846.4,959.0,441.2,1421.6,5,5,5,5
5,9,6,hard 14,897.0,1188.2,354.4,1561.0,5,5,5,5
6,8,6,hard 14,701.2,1159.6,74.4,1958.2,5,5,5,5
4,10,7,hard 14,816.8,982.8,172.4,1718.4,5,5,5,5
5,9,7,hard 14,752.6,1131.4,158.8,1241.0,5,5,5,5
6,8,7,hard 14,875.8,829.8,92.6,1227.6,5,5,5,5
4,10,8,hard 14,822.8,1037.6,420.2,1193.8,5,5,5,5
5,9,8,hard 14,897.6,1365.6,81.6,1802.6,5,5,5,5
6,8,8,hard 14,999.6,921.0,91.0,2153.8,5,5,5,5
4,10,9,hard 14,701.6,1053.4,443.6,493.0,5,5,5,5
5,9,9,hard 14,942.4,1358.0,595.8,1776.6,5,5,5,5
6,8,9,hard 14,1052.2,873.2,314.8,1623.8,5,5,5,5
4,10,A,hard 14,1117.2,1141.5,451.2,2221.5,4,4,4,4
5,9,A,hard 14,666.0,1232.5,459.5,1447.0,2,2,2,2
6,8,A,hard 14,787.0,1513.0,686.7,1627.0,3,3,3,3
5,10,10,hard 15,940.6,1052.4,538.2,1369.0,5,5,5,5
6,9,10,hard 15,712.8,1163.2,611.0,1840.0,5,5,5,5
7,8,10,hard 15,893.4,820.4,717.2,1971.4,5,5,5,5
5,10,2,hard 15,907.6,1130.6,1091.8,2050.0,5,5,5,5
6,9,2,hard 15,1028.4,1275.8,611.8,2200.6,5,5,5,5
7,8,2,hard 15,695.2,1099.4,514.2,2495.6,5,5,5,5
5,10,3,hard 15,768.4,1155.4,699.2,2102.6,5,5,5,5
6,9,3,hard 15,725.6,1094.2,450.6,2505.8,5,5,5,5
7,8,3,hard 15,782.2,1044.8,288.0,2366.0,5,5,5,5
5,10,4,hard 15,857.6,1319.6,944.6,2037.6,5,5,5,5
6,9,4,hard 15,822.0,910.4,434.6,2311.4,5,5,5,5
7,8,4,hard 15,744.2,1303.8,164.6,2404.4,5,5,5,5
5,10,5,hard 15,712.2,1522.0,985.6,2131.2,5,5,5,5
6,9,5,hard 15,677.2,1255.4,425.8,2164.2,5,5,5,5
7,8,5,hard 15,708.8,1709.8,613.2,2613.6,5,5,5,5
5,10,6,hard 15,756.0,1256.6,1007.6,2335.2,5,5,5,5
6,9,6,hard 15,677.4,1296.0,586.0,1970.2,5,5,5,5
7,8,6,hard 15,878.0,1293.6,520.2,2186.0,5,5,5,5
5,10,7,hard 15,734.0,926.6,172.2,1689.8,5,5,5,5
6,9,7,hard 15,785.6,1111.4,329.6,2020.4,5,5,5,5
7,8,7,hard 15,1023.2,1387.2,415.6,1116.4,5,5,5,5
5,10,8,hard 15,916.8,1177.6,346.6,2175.2,5,5,5,5
6,9,8,hard 15,837.8,920.2,360.8,2109.8,5,5,5,5
7,8,8,hard 15,954.8,1261.4,262.0,1825.8,5,5,5,5
5,10,9,hard 15,850.8,1238.4,361.0,1706.6,5,5,5,5
6,9,9,hard 15,639.8,1179.4,342.2,1983.8,5,5,5,5
7,8,9,hard 15,849.4,1245.4,1.8,1640.6,5,5,5,5
5,10,A,hard 15,889.3,1326.3,580.7,2352.3,3,3,3,3
6,9,A,hard 15,929.4,1264.0,176.2,1779.8,5,5,5,5
7,8,A,hard 15,1018.5,750.2,810.5,1589.2,4,4,4,4
6,10,10,hard 16,806.0,989.0,2142.3,2075.7,3,3,3,3
7,9,10,hard 16,898.8,1264.2,1958.0,1510.2,5,5,5,5
6,10,2,hard 16,779.0,1045.6,1027.8,2468.6,5,5,5,5
7,9,2,hard 16,807.6,1089.0,640.0,2202.2,5,5,5,5
6,10,3,hard 16,785.2,1097.6,641.0,2082.8,5,5,5,5
7,9,3,hard 16,723.4,1590.0,560.6,2113.6,5,5,5,5
6,10,4,hard 16,722.2,1195.6,508.8,1731.4,5,5,5,5
7,9,4,hard 16,765.2,1450.8,81.4,1316.0,5,5,5,5
6,10,5,hard 16,738.8,1047.0,1085.0,2099.6,5,5,5,5
7,9,5,hard 16,803.2,1072.4,438.0,1738.6,5,5,5,5
6,10,6,hard 16,745.8,1215.6,965.0,1265.8,5,5,5,5
7,9,6,hard 16,743.0,1231.6,441.4,1398.2,5,5,5,5
6,10,7,hard 16,980.0,993.6,366.2,1273.4,5,5,5,5
7,9,7,hard 16,918.6,1267.0,261.2,719.8,5,5,5,5
6,10,8,hard 16,784.6,1148.0,643.8,1120.0,5,5,5,5
7,9,8,hard 16,718.8,1353.0,338.0,1942.6,5,5,5,5
6,10,9,hard 16,803.4,1025.0,777.6,1158.2,5,5,5,5
7,9,9,hard 16,642.6,1358.8,363.8,1354.0,5,5,5,5
6,10,A,hard 16,911.8,1181.2,927.8,1513.2,4,4,4,4
7,9,A,hard 16,837.5,1204.0,228.0,1860.5,4,4,4,4
7,10,10,hard 17,720.4,1223.4,176.0,1011.2,5,5,5,5
8,9,10,hard 17,717.6,1063.4,444.0,1478.0,5,5,5,5
7,10,2,hard 17,689.0,813.6,164.8,1568.6,5,5,5,5
8,9,2,hard 17,788.4,1194.2,237.4,1218.6,5,5,5,5
7,10,3,hard 17,652.0,1034.2,228.8,693.2,5,5,5,5
8,9,3,hard 17,814.0,1079.0,258.0,1309.6,5,5,5,5
7,10,4,hard 17,779.0,1141.4,262.4,740.6,5,5,5,5
8,9,4,hard 17,953.2,1143.0,255.8,1409.2,5,5,5,5
7,10,5,hard 17,835.2,1182.0,128.6,1432.2,5,5,5,5
8,9,5,hard 17,772.6,1165.0,326.8,1477.8,5,5,5,5
7,10,6,hard 17,770.8,1260.2,416.4,1084.4,5,5,5,5
8,9,6,hard 17,819.8,1000.8,321.6,751.6,5,5,5,5
7,10,7,hard 17,754.4,1015.2,174.2,683.6,5,5,5,5
8,9,7,hard 17,930.2,1262.2,344.6,1110.6,5,5,5,5
7,10,8,hard 17,975.8,1058.4,248.6,574.2,5,5,5,5
8,9,8,hard 17,781.6,1237.8,85.8,833.2,5,5,5,5
7,10,9,hard 17,852.4,1073.6,495.4,1281.8,5,5,5,5
8,9,9,hard 17,773.2,1401.8,304.6,1782.4,5,5,5,5
7,10,A,hard 17,1047.8,1221.8,648.8,1452.2,5,5,5,5
8,9,A,hard 17,696.8,1407.0,474.0,1598.5,4,4,4,4
8,10,10,hard 18,733.0,1078.8,317.2,1832.0,5,5,5,5
8,10,2,hard 18,683.4,1138.4,419.0,1205.6,5,5,5,5
8,10,3,hard 18,712.4,1008.4,424.6,720.2,5,5,5,5
8,10,4,hard 18,702.0,1115.6,756.8,951.4,5,5,5,5
8,10,5,hard 18,698.2,1298.4,613.8,972.2,5,5,5,5
8,10,6,hard 18,839.2,1130.2,248.8,1001.4,5,5,5,5
8,10,7,hard 18,759.8,982.2,274.8,1203.2,5,5,5,5
8,10,8,hard 18,604.6,1231.0,352.0,1701.2,5,5,5,5
8,10,9,hard 18,910.0,1224.6,755.2,1401.0,5,5,5,5
8,10,A,hard 18,775.5,1170.2,1223.2,1019.8,4,4,4,4
9,10,10,hard 19,884.0,1163.0,256.0,671.4,5,5,5,5
9,10,2,hard 19,654.4,1026.8,502.8,263.6,5,5,5,5
9,10,3,hard 19,804.0,1127.6,348.0,771.6,5,5,5,5
9,10,4,hard 19,843.4,877.2,312.2,598.0,5,5,5,5
9,10,5,hard 19,701.8,872.6,399.8,596.2,5,5,5,5
9,10,6,hard 19,793.6,1019.4,158.2,735.6,5,5,5,5
9,10,7,hard 19,863.8,818.0,82.8,798.6,5,5,5,5
9,10,8,hard 19,1015.2,1025.0,175.4,893.2,5,5,5,5
9,10,9,hard 19,923.2,895.0,252.2,772.0,5,5,5,5
9,10,A,hard 19,775.5,956.5,0.0,1357.0,2,2,2,2
2,3,10,hard 5,667.0,659.7,406.3,1447.7,3,3,3,3
2,3,2,hard 5,747.2,1064.4,424.8,1116.0,5,5,5,5
2,3,3,hard 5,745.8,856.4,339.0,1571.0,5,5,5,5
2,3,4,hard 5,745.8,1005.0,558.0,1977.4,5,5,5,5
2,3,5,hard 5,752.6,851.2,1199.0,2296.0,5,5,5,5
2,3,6,hard 5,714.0,1178.0,953.4,2246.8,5,5,5,5
2,3,7,hard 5,669.0,913.6,258.6,1868.6,5,5,5,5
2,3,8,hard 5,704.8,909.0,370.6,1103.6,5,5,5,5
2,3,9,hard 5,540.8,1065.8,354.4,2062.4,5,5,5,5
2,3,A,hard 5,807.0,1150.0,1604.5,1332.5,2,2,2,2
2,4,10,hard 6,688.0,1079.8,505.0,1266.8,4,4,4,4
2,4,2,hard 6,729.0,895.2,724.4,2151.8,5,5,5,5
2,4,3,hard 6,663.6,1029.8,528.2,2374.8,5,5,5,5
2,4,4,hard 6,700.4,997.0,909.6,2050.2,5,5,5,5
2,4,5,hard 6,725.2,869.4,1206.8,2550.8,5,5,5,5
2,4,6,hard 6,889.8,1012.4,820.2,2379.6,5,5,5,5
2,4,7,hard 6,702.6,976.6,179.6,1688.2,5,5,5,5
2,4,8,hard 6,726.4,983.0,589.6,1126.0,5,5,5,5
2,4,9,hard 6,631.4,970.0,176.4,1222.0,5,5,5,5
2,4,A,hard 6,812.5,937.5,227.5,2074.5,2,2,2,2
2,5,10,hard 7,781.2,1294.5,2.2,440.0,4,4,4,4
3,4,10,hard 7,689.5,1087.8,102.0,550.0,4,4,4,4
2,5,2,hard 7,704.0,827.2,322.4,1244.2,5,5,5,5
3,4,2,hard 7,697.4,1113.0,587.8,1502.2,5,5,5,5
2,5,3,hard 7,787.8,828.8,330.4,1433.2,5,5,5,5
3,4,3,hard 7,637.0,720.8,607.6,1139.2,5,5,5,5
2,5,4,hard 7,656.6,785.4,153.8,1134.2,5,5,5,5
3,4,4,hard 7,710.0,852.2,664.2,887.0,5,5,5,5
2,5,5,hard 7,774.4,1007.2,739.0,1336.2,5,5,5,5
3,4,5,hard 7,650.8,1400.4,397.2,2111.4,5,5,5,5
2,5,6,hard 7,739.2,849.0,172.8,1530.6,5,5,5,5
3,4,6,hard 7,1133.6,1094.0,655.6,2301.6,5,5,5,5
2,5,7,hard 7,621.4,870.2,1.2,914.4,5,5,5,5
3,4,7,hard 7,598.4,992.8,262.8,1591.8,5,5,5,5
2,5,8,hard 7,665.6,1066.8,254.6,1291.4,5,5,5,5
3,4,8,hard 7,603.8,1059.6,253.0,989.0,5,5,5,5
2,5,9,hard 7,703.6,994.8,167.8,1173.6,5,5,5,5
3,4,9,hard 7,799.6,995.8,338.0,787.6,5,5,5,5
2,5,A,hard 7,653.5,1141.5,98.2,764.5,4,4,4,4
3,4,A,hard 7,790.8,1188.8,322.8,1662.8,4,4,4,4
2,6,10,hard 8,479.5,1011.0,273.5,908.2,4,4,4,4
3,5,10,hard 8,799.8,1038.5,775.2,1295.5,4,4,4,4
2,6,2,hard 8,653.0,1047.6,552.0,804.2,5,5,5,5
3,5,2,hard 8,701.6,1132.0,185.0,1814.6,5,5,5,5
2,6,3,hard 8,829.2,1078.0,706.2,1241.8,5,5,5,5
3,5,3,hard 8,711.2,906.6,613.2,1635.6,5,5,5,5
2,6,4,hard 8,844.4,1667.8,549.4,1233.0,5,5,5,5
3,5,4,hard 8,925.8,831.0,1087.0,1413.2,5,5,5,5
2,6,5,hard 8,722.8,938.2,1440.6,2028.0,5,5,5,5
3,5,5,hard 8,810.6,804.8,1135.4,1753.2,5,5,5,5
2,6,6,hard 8,728.2,995.2,1000.4,2339.6,5,5,5,5
3,5,6,hard 8,918.2,998.8,733.8,2076.6,5,5,5,5
2,6,7,hard 8,622.6,919.4,80.8,758.2,5,5,5,5
3,5,7,hard 8,766.0,806.4,349.6,1455.2,5,5,5,5
2,6,8,hard 8,711.6,994.0,249.4,995.6,5,5,5,5
3,5,8,hard 8,800.4,1166.4,476.8,1628.2,5,5,5,5
2,6,9,hard 8,679.0,1175.0,425.4,741.4,5,5,5,5
3,5,9,hard 8,664.0,1065.2,675.4,710.4,5,5,5,5
2,6,A,hard 8,567.0,1041.3,1045.3,1110.3,3,3,3,3
3,5,A,hard 8,788.8,1003.2,351.6,998.8,5,5,5,5
2,7,10,hard 9,597.0,1147.2,319.8,980.4,5,5,5,5
3,6,10,hard 9,720.4,1137.0,135.8,1877.4,5,5,5,5
4,5,10,hard 9,687.0,1224.0,174.6,1538.4,5,5,5,5
2,7,2,hard 9,801.0,1146.8,569.6,1115.8,5,5,5,5
3,6,2,hard 9,615.0,1114.6,547.0,1519.0,5,5,5,5
4,5,2,hard 9,620.4,1192.2,945.4,1366.0,5,5,5,5
2,7,3,hard 9,699.8,964.4,185.8,1533.8,5,5,5,5
3,6,3,hard 9,568.2,1018.2,425.0,1783.4,5,5,5,5
4,5,3,hard 9,621.6,946.2,601.2,1256.6,5,5,5,5
2,7,4,hard 9,827.2,803.0,667.4,1533.8,5,5,5,5
3,6,4,hard 9,768.8,769.8,241.0,1640.6,5,5,5,5
4,5,4,hard 9,773.6,1186.2,432.4,1288.8,5,5,5,5
2,7,5,hard 9,548.4,907.2,723.0,1044.2,5,5,5,5
3,6,5,hard 9,698.0,1112.0,77.2,903.4,5,5,5,5
4,5,5,hard 9,679.4,891.4,449.0,791.0,5,5,5,5
2,7,6,hard 9,673.2,993.6,246.8,1267.0,5,5,5,5
3,6,6,hard 9,723.6,741.0,264.0,1394.0,5,5,5,5
4,5,6,hard 9,782.2,904.6,350.4,1223.8,5,5,5,5
2,7,7,hard 9,553.4,1093.6,73.2,1361.2,5,5,5,5
3,6,7,hard 9,698.2,968.2,600.4,788.8,5,5,5,5
4,5,7,hard 9,702.4,739.8,242.2,1350.4,5,5,5,5
2,7,8,hard 9,714.6,1099.2,250.0,1587.6,5,5,5,5
3,6,8,hard 9,714.0,1165.0,176.6,1172.2,5,5,5,5
4,5,8,hard 9,907.0,1009.8,256.4,1239.0,5,5,5,5
2,7,9,hard 9,828.0,1090.4,164.6,1610.2,5,5,5,5
3,6,9,hard 9,612.8,989.4,258.4,1317.2,5,5,5,5
4,5,9,hard 9,746.8,1109.2,433.8,1380.0,5,5,5,5
2,7,A,hard 9,676.0,1187.2,659.0,1519.8,4,4,4,4
3,6,A,hard 9,809.7,1176.3,414.7,550.7,3,3,3,3
4,5,A,hard 9,736.5,1426.0,869.5,1351.0,2,2,2,2
10,10,10,pair 10/10,1100.0,1489.6,270.2,1007.4,5,5,5,5
10,10,2,pair 10/10,1218.0,722.6,85.0,510.8,5,5,5,5
10,10,3,pair 10/10,1099.6,890.0,137.4,1449.4,5,5,5,5
10,10,4,pair 10/10,1045.8,924.0,178.6,1578.2,5,5,5,5
10,10,5,pair 10/10,1195.4,819.2,334.8,1139.8,5,5,5,5
10,10,6,pair 10/10,946.8,1275.0,343.2,1136.6,5,5,5,5
10,10,7,pair 10/10,1125.8,1254.2,264.0,721.0,5,5,5,5
10,10,8,pair 10/10,1245.2,964.0,173.6,886.6,5,5,5,5
10,10,9,pair 10/10,1201.6,1209.2,374.0,1164.4,5,5,5,5
10,10,A,pair 10/10,1098.0,1210.0,707.3,1078.7,3,3,3,3
2,2,10,pair 2/2,958.8,1206.5,320.2,1941.0,4,4,4,4
2,2,2,pair 2/2,970.0,1200.6,255.8,1707.4,5,5,5,5
2,2,3,pair 2/2,826.0,1242.4,380.8,2322.4,5,5,5,5
